unixtime,lat,lon,depth,sci_water_temp
1370535754.26959, 44.525568354435983, -63.385609916351576, 4.5928175065332626, 7.9266
1370536030.15045, 44.524940925116063, -63.385160295382313, 42.611902552062389, 0.0
1370536090.92795, 44.524802700284425, -63.385061242340321, 38.10012846427778, 2.778
1370536151.87961, 44.524664079364264, -63.384961905458056, 29.090539677931297, 3.58
1370536212.04221, 44.524527252984882, -63.384863854558347, 20.260794970744158, 3.8045
1370536272.15765, 44.524390533860704, -63.3847658805186, 11.843171130764262, 4.7926
1370536333.1568, 44.524251804935432, -63.38466646623899, 5.1926580868745527, 7.8995
1370536393.92209, 44.524113607872465, -63.384567433096251, 8.0543981123064654, 8.0119
1370536625.80878, 44.523586233454047, -63.384189512285658, 42.818810960040871, 0.0
1370536686.186, 44.523448918969208, -63.384091111605599, 37.898999120394713, 2.84
